Tue Sep 28 16:43:55 2021    devicecuda:0_parallelFalse.profile

         2201446 function calls (2065854 primitive calls) in 39.659 seconds

   Ordered by: cumulative time
   List reduced from 737 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    31024    1.307    0.000    1.307    0.000 {method 'mul_' of 'torch._C._TensorBase' objects}
       25    0.001    0.000    1.300    0.052 MB_DPPO.py:719(model_step)
       25    0.002    0.000    1.298    0.052 models.py:430(predict)
        5    0.028    0.006    1.210    0.242 MB_DPPO.py:704(validateModel)
        1    0.000    0.000    1.182    1.182 module.py:779(load_state_dict)
    646/1    0.008    0.000    1.182    1.182 module.py:807(load)
      646    0.548    0.001    1.174    0.002 module.py:703(_load_from_state_dict)
    15512    0.777    0.000    0.777    0.000 {method 'sqrt' of 'torch._C._TensorBase' objects}
     6885    0.756    0.000    0.756    0.000 {built-in method cat}
    15512    0.747    0.000    0.747    0.000 {method 'addcdiv_' of 'torch._C._TensorBase' objects}
     7040    0.169    0.000    0.741    0.000 MB_DPPO.py:94(getFraction)
       50    0.037    0.001    0.733    0.015 MB_DPPO.py:388(<listcomp>)
    24564    0.711    0.000    0.711    0.000 {method 'select' of 'torch._C._TensorBase' objects}
       34    0.017    0.001    0.703    0.021 MB_DPPO.py:457(act)
        1    0.006    0.006    0.680    0.680 MB_DPPO.py:318(rollout_env)
    37030    0.676    0.000    0.676    0.000 {method 't' of 'torch._C._TensorBase' objects}
      504    0.030    0.000    0.659    0.001 models.py:690(forward)
    15512    0.645    0.000    0.645    0.000 {method 'addcmul_' of 'torch._C._TensorBase' objects}
      490    0.505    0.001    0.505    0.001 {method 'copy_' of 'torch._C._TensorBase' objects}
    17892    0.143    0.000    0.502    0.000 container.py:142(__getitem__)
       57    0.001    0.000    0.487    0.009 std.py:1164(__iter__)
       60    0.098    0.002    0.483    0.008 std.py:1468(display)
       56    0.008    0.000    0.463    0.008 std.py:1329(refresh)
     1772    0.460    0.000    0.460    0.000 {built-in method stack}
       52    0.002    0.000    0.452    0.009 std.py:1202(update)
        9    0.000    0.000    0.403    0.045 FigureEight.py:58(step)
       67    0.070    0.001    0.364    0.005 optimizer.py:159(zero_grad)
        9    0.003    0.000    0.355    0.039 base.py:295(step)
    17892    0.081    0.000    0.343    0.000 container.py:133(_get_abs_string_index)
     7040    0.290    0.000    0.290    0.000 MB_DPPO.py:104(<dictcomp>)
     3430    0.028    0.000    0.288    0.000 activation.py:270(forward)
       17    0.003    0.000    0.286    0.017 MB_DPPO.py:603(_evalV)
      514    0.008    0.000    0.285    0.001 connection.py:161(_sendCmd)
        1    0.001    0.001    0.283    0.283 MB_DPPO.py:269(test)
205475/169691    0.261    0.000    0.281    0.000 {built-in method builtins.len}
   105389    0.276    0.000    0.276    0.000 module.py:562(__getattr__)
      514    0.009    0.000    0.271    0.001 connection.py:81(_sendExact)
        2    0.000    0.000    0.268    0.134 accel.py:171(reset)
        2    0.001    0.000    0.267    0.134 base.py:415(reset)
     3430    0.260    0.000    0.260    0.000 {built-in method sigmoid}
    15022    0.260    0.000    0.260    0.000 {method 'zero_' of 'torch._C._TensorBase' objects}
       11    0.000    0.000    0.253    0.023 kernel.py:87(update)
       11    0.025    0.002    0.253    0.023 traci.py:120(update)
   106927    0.247    0.000    0.247    0.000 {built-in method torch._C._get_tracing_state}
    35409    0.233    0.000    0.233    0.000 {built-in method as_tensor}
       60    0.002    0.000    0.232    0.004 std.py:1154(__str__)
     9089    0.154    0.000    0.216    0.000 MB_DPPO.py:86(__init__)
       60    0.110    0.002    0.211    0.004 std.py:356(format_meter)
      514    0.198    0.000    0.198    0.000 {method 'send' of '_socket.socket' objects}
      180    0.001    0.000    0.196    0.001 utils.py:333(disp_len)
      180    0.000    0.000    0.195    0.001 utils.py:329(_text_width)
      180    0.157    0.001    0.194    0.001 {built-in method builtins.sum}
     6400    0.025    0.000    0.172    0.000 MB_DPPO.py:688(<listcomp>)
       28    0.003    0.000    0.167    0.006 traci.py:266(_add_departed)
      237    0.002    0.000    0.164    0.001 domain.py:169(_getUniversal)
        2    0.087    0.043    0.158    0.079 MB_DPPO.py:145(retrieve)
      237    0.003    0.000    0.157    0.001 domain.py:174(_getCmd)
        1    0.000    0.000    0.152    0.152 serialization.py:448(load)
        1    0.001    0.001    0.151    0.151 serialization.py:549(_legacy_load)
       50    0.001    0.000    0.136    0.003 MB_DPPO.py:694(<listcomp>)
       60    0.006    0.000    0.134    0.002 std.py:349(print_status)
       11    0.000    0.000    0.130    0.012 traci.py:90(simulation_step)
       11    0.003    0.000    0.130    0.012 connection.py:305(simulationStep)
      319    0.039    0.000    0.124    0.000 connection.py:183(_readSubscription)
        1    0.005    0.005    0.121    0.121 {method 'load' of '_pickle.Unpickler' objects}
   316544    0.111    0.000    0.111    0.000 {method 'startswith' of 'str' objects}
   236713    0.108    0.000    0.108    0.000 {method 'values' of 'collections.OrderedDict' objects}
        2    0.001    0.000    0.108    0.054 MB_DPPO.py:490(get_logp)
        1    0.020    0.020    0.098    0.098 MB_DPPO.py:632(_process_traj)
        9    0.000    0.000    0.097    0.011 base.py:600(apply_rl_actions)
     7041    0.097    0.000    0.097    0.000 {built-in method randint}
      879    0.096    0.000    0.096    0.000 {built-in method isnan}
      983    0.094    0.000    0.094    0.000 {built-in method zeros_like}
    21322    0.063    0.000    0.090    0.000 container.py:94(__iter__)
    47489    0.089    0.000    0.089    0.000 MB_DPPO.py:107(__getitem__)
        1    0.000    0.000    0.083    0.083 MB_DPPO.py:597(save)
        1    0.000    0.000    0.083    0.083 utils.py:339(save)
       60    0.000    0.000    0.081    0.001 utils.py:341(disp_trim)
       18    0.001    0.000    0.080    0.004 base.py:567(clip_actions)
       54    0.000    0.000    0.078    0.001 FigureEight.py:29(action_space)
       54    0.002    0.000    0.077    0.001 box.py:23(__init__)
      210    0.001    0.000    0.073    0.000 domain.py:186(_setCmd)
     1782    0.007    0.000    0.073    0.000 domain.py:82(add)
     2019    0.015    0.000    0.071    0.000 domain.py:41(_parse)
       18    0.000    0.000    0.065    0.004 FigureEight.py:48(get_state_)
       56    0.000    0.000    0.064    0.001 domain.py:205(subscribe)
       56    0.001    0.000    0.064    0.001 connection.py:226(_subscribe)
       54    0.003    0.000    0.063    0.001 MB_DPPO.py:60(_collect)
       53    0.000    0.000    0.063    0.001 MB_DPPO.py:39(gather)
       83    0.036    0.000    0.061    0.001 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
      490    0.002    0.000    0.060    0.000 _utils.py:134(_rebuild_tensor_v2)
        1    0.038    0.038    0.060    0.060 utils.py:341(<dictcomp>)
      490    0.001    0.000    0.058    0.000 _utils.py:128(_rebuild_tensor)
       55    0.001    0.000    0.057    0.001 MB_DPPO.py:185(sampleTrajs)
      490    0.053    0.000    0.056    0.000 serialization.py:649(persistent_load)
      514    0.006    0.000    0.056    0.000 connection.py:62(_recvExact)
      756    0.054    0.000    0.054    0.000 {built-in method index_select}
       33    0.001    0.000    0.053    0.002 MB_DPPO.py:120(store)
      490    0.052    0.000    0.052    0.000 {built-in method tensor}
        9    0.000    0.000    0.051    0.006 traci.py:153(check_collision)
        9    0.000    0.000    0.051    0.006 _simulation.py:470(getStartingTeleportNumber)
      220    0.001    0.000    0.050    0.000 loss.py:430(forward)
      220    0.003    0.000    0.049    0.000 functional.py:2195(mse_loss)
     1028    0.049    0.000    0.049    0.000 {method 'recv' of '_socket.socket' objects}
        4    0.000    0.000    0.048    0.012 std.py:1526(trange)
        5    0.003    0.001    0.048    0.010 MB_DPPO.py:392(<listcomp>)
      167    0.046    0.000    0.046    0.000 {method 'sum' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.044    0.044 MB_DPPO.py:527(<dictcomp>)
      220    0.044    0.000    0.044    0.000 {built-in method torch._C._nn.mse_loss}
    16002    0.024    0.000    0.043    0.000 tensor.py:464(__hash__)
       28    0.001    0.000    0.043    0.002 traci.py:1102(add)
       11    0.013    0.001    0.042    0.004 traci.py:714(_multi_lane_headways)
      344    0.006    0.000    0.041    0.000 utils.py:143(inner)
      108    0.040    0.000    0.040    0.000 numeric.py:1786(isscalar)
     9089    0.040    0.000    0.040    0.000 MB_DPPO.py:91(<dictcomp>)
       61    0.035    0.001    0.040    0.001 normal.py:70(log_prob)
    40256    0.023    0.000    0.037    0.000 utils.py:330(<genexpr>)
       28    0.000    0.000    0.037    0.001 _vehicle.py:868(subscribeLeader)
       18    0.036    0.002    0.037    0.002 FigureEight.py:50(<listcomp>)
        9    0.000    0.000    0.036    0.004 accel.py:101(_apply_rl_actions)
     7099    0.035    0.000    0.035    0.000 {method 'item' of 'torch._C._TensorBase' objects}
        9    0.004    0.000    0.035    0.004 traci.py:956(apply_acceleration)
      640    0.002    0.000    0.035    0.000 MB_DPPO.py:709(<listcomp>)
        8    0.003    0.000    0.035    0.004 std.py:1269(close)
    15022    0.034    0.000    0.034    0.000 {method 'detach_' of 'torch._C._TensorBase' objects}
       54    0.000    0.000    0.034    0.001 space.py:9(__init__)
       54    0.000    0.000    0.033    0.001 space.py:21(seed)
       54    0.011    0.000    0.033    0.001 seeding.py:11(np_random)
      588    0.021    0.000    0.033    0.000 traci.py:1019(get_x_by_id)
        4    0.000    0.000    0.032    0.008 std.py:563(__new__)
      126    0.001    0.000    0.031    0.000 _vehicle.py:1142(slowDown)
       28    0.000    0.000    0.031    0.001 _vehicle.py:1565(add)
    13021    0.020    0.000    0.030    0.000 storage.py:37(read)
     2414    0.017    0.000    0.029    0.000 storage.py:69(readString)
       18    0.002    0.000    0.028    0.002 FigureEight.py:52(<listcomp>)
      490    0.027    0.000    0.027    0.000 {method '_set_from_file' of 'torch._C.FloatStorageBase' objects}
  458/386    0.003    0.000    0.027    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       60    0.001    0.000    0.027    0.000 std.py:343(fp_write)
      154    0.019    0.000    0.026    0.000 traci.py:780(_multi_lane_headways_util)
        1    0.000    0.000    0.026    0.026 _monitor.py:30(__init__)
        1    0.000    0.000    0.026    0.026 threading.py:829(start)
        1    0.000    0.000    0.025    0.025 threading.py:534(wait)
        1    0.000    0.000    0.025    0.025 threading.py:264(wait)
        4    0.025    0.006    0.025    0.006 {method 'acquire' of '_thread.lock' objects}
      138    0.002    0.000    0.024    0.000 <__array_function__ internals>:2(prod)
        1    0.024    0.024    0.024    0.024 {method 'tolist' of 'torch._C._TensorBase' objects}
    21567    0.024    0.000    0.024    0.000 {built-in method builtins.iter}
    35784    0.020    0.000    0.024    0.000 container.py:163(__len__)
    646/1    0.020    0.000    0.023    0.023 module.py:663(state_dict)
     9792    0.023    0.000    0.023    0.000 {method 'size' of 'torch._C._TensorBase' objects}
      881    0.022    0.000    0.022    0.000 {method 'mean' of 'torch._C._TensorBase' objects}
      178    0.021    0.000    0.021    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      707    0.021    0.000    0.021    0.000 {method 'expand' of 'torch._C._TensorBase' objects}
      154    0.002    0.000    0.021    0.000 _vehicle.py:142(_readLeader)
      138    0.001    0.000    0.021    0.000 fromnumeric.py:2843(prod)
        5    0.000    0.000    0.021    0.004 MB_DPPO.py:715(<listcomp>)
      191    0.001    0.000    0.020    0.000 storage.py:78(readStringList)
       28    0.000    0.000    0.020    0.001 _vehicle.py:294(getRoadID)
      140    0.002    0.000    0.020    0.000 fromnumeric.py:73(_wrapreduction)
    16012    0.020    0.000    0.020    0.000 {built-in method builtins.id}
       28    0.000    0.000    0.020    0.001 _vehicle.py:344(getLanePosition)
      329    0.019    0.000    0.019    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    30131    0.019    0.000    0.019    0.000 {built-in method builtins.isinstance}
    37399    0.019    0.000    0.019    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
      191    0.008    0.000    0.019    0.000 storage.py:80(<listcomp>)
       60    0.018    0.000    0.018    0.000 std.py:1450(format_dict)
    17892    0.018    0.000    0.018    0.000 {built-in method _operator.index}
      108    0.002    0.000    0.018    0.000 std.py:1445(moveto)
      154    0.015    0.000    0.018    0.000 storage.py:73(readTypedString)
       28    0.000    0.000    0.017    0.001 _vehicle.py:315(getTypeID)
        3    0.017    0.006    0.017    0.006 {built-in method io.open}
       28    0.000    0.000    0.016    0.001 _vehicle.py:1529(setLaneChangeMode)
       28    0.000    0.000    0.016    0.001 _vehicle.py:308(getLaneIndex)
        4    0.001    0.000    0.015    0.004 std.py:849(__init__)
      879    0.015    0.000    0.015    0.000 {method 'any' of 'torch._C._TensorBase' objects}
      506    0.014    0.000    0.014    0.000 {built-in method exp}
      176    0.014    0.000    0.014    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
    40076    0.014    0.000    0.014    0.000 {built-in method unicodedata.east_asian_width}
    78175    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
       54    0.011    0.000    0.013    0.000 contextlib.py:71(inner)
       33    0.000    0.000    0.013    0.000 MB_DPPO.py:125(<listcomp>)
        5    0.012    0.002    0.012    0.002 {method 'abs' of 'torch._C._TensorBase' objects}
        4    0.000    0.000    0.011    0.003 domain.py:191(getIDList)
       28    0.000    0.000    0.011    0.000 _simulation.py:252(getTime)
       28    0.000    0.000    0.009    0.000 _vehicle.py:476(getLength)
     1061    0.008    0.000    0.008    0.000 {method 'view' of 'torch._C._TensorBase' objects}
       35    0.008    0.000    0.008    0.000 {method 'unsqueeze' of 'torch._C._TensorBase' objects}
      588    0.008    0.000    0.008    0.000 traci.py:252(get_x)
      646    0.008    0.000    0.008    0.000 module.py:740(<dictcomp>)
    15573    0.007    0.000    0.007    0.000 {built-in method math.sqrt}
       28    0.000    0.000    0.007    0.000 _vehicle.py:1536(setSpeedMode)
       34    0.001    0.000    0.007    0.000 normal.py:60(sample)
    13643    0.006    0.000    0.006    0.000 {built-in method _struct.unpack}
        4    0.000    0.000    0.006    0.002 std.py:660(get_lock)
       11    0.000    0.000    0.006    0.001 accel.py:116(get_state)
        1    0.000    0.000    0.006    0.006 std.py:92(__init__)
        1    0.000    0.000    0.006    0.006 std.py:118(create_mp_lock)
        1    0.000    0.000    0.006    0.006 context.py:69(RLock)
       28    0.000    0.000    0.006    0.000 _vehicle.py:398(getFuelConsumption)
       55    0.006    0.000    0.006    0.000 MB_DPPO.py:187(<listcomp>)
     1075    0.003    0.000    0.006    0.000 storage.py:55(readDouble)
       97    0.006    0.000    0.006    0.000 tensor.py:25(wrapped)
       34    0.005    0.000    0.005    0.000 {built-in method normal}
       54    0.005    0.000    0.005    0.000 {method 'seed' of 'numpy.random.mtrand.RandomState' objects}
        1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap>:978(_find_and_load)
      100    0.000    0.000    0.005    0.000 tensor.py:393(__rsub__)
        1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      100    0.005    0.000    0.005    0.000 {built-in method rsub}
      490    0.005    0.000    0.005    0.000 {method 'set_' of 'torch._C._TensorBase' objects}
       28    0.000    0.000    0.005    0.000 _vehicle.py:245(getSpeed)
        1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap>:663(_load_unlocked)
        1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap_external>:722(exec_module)
       25    0.000    0.000    0.005    0.000 categorical.py:102(sample)
       17    0.000    0.000    0.005    0.000 accel.py:109(compute_reward)
      556    0.003    0.000    0.005    0.000 storage.py:63(readLength)
       62    0.001    0.000    0.004    0.000 normal.py:43(__init__)
       17    0.001    0.000    0.004    0.000 rewards.py:6(desired_velocity)
       61    0.004    0.000    0.004    0.000 {method 'log' of 'torch._C._TensorBase' objects}
    13021    0.004    0.000    0.004    0.000 {built-in method _struct.calcsize}
      514    0.004    0.000    0.004    0.000 connection.py:108(_pack)
       55    0.001    0.000    0.004    0.000 loss.py:497(forward)
       11    0.001    0.000    0.004    0.000 accel.py:120(<listcomp>)
        1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap_external>:793(get_code)
     1896    0.003    0.000    0.004    0.000 traci.py:575(get_edge)
        9    0.001    0.000    0.004    0.000 accel.py:125(additional_command)
      601    0.003    0.000    0.004    0.000 {method 'format' of 'str' objects}
 1048/684    0.002    0.000    0.004    0.000 traci.py:556(get_speed)
       67    0.001    0.000    0.004    0.000 __init__.py:20(_make_grads)
        2    0.003    0.002    0.003    0.002 {method 'clamp' of 'torch._C._TensorBase' objects}
       55    0.000    0.000    0.003    0.000 functional.py:2024(binary_cross_entropy)
        1    0.003    0.003    0.003    0.003 <frozen importlib._bootstrap_external>:438(_classify_pyc)
    14462    0.003    0.000    0.003    0.000 linear.py:29(forward)
       25    0.003    0.000    0.003    0.000 {built-in method multinomial}
      117    0.001    0.000    0.003    0.000 {method 'any' of 'numpy.generic' objects}
       66    0.002    0.000    0.003    0.000 traci.py:866(_next_edge_leaders)
       66    0.002    0.000    0.003    0.000 traci.py:911(_prev_edge_followers)
       55    0.003    0.000    0.003    0.000 {built-in method torch._C._nn.binary_cross_entropy}
       62    0.001    0.000    0.003    0.000 utils.py:7(broadcast_all)
       67    0.003    0.000    0.003    0.000 {built-in method ones_like}
    11523    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
      282    0.000    0.000    0.003    0.000 functional.py:26(broadcast_tensors)
     1013    0.003    0.000    0.003    0.000 {method 'detach' of 'torch._C._TensorBase' objects}
       72    0.002    0.000    0.002    0.000 std.py:108(release)
      646    0.002    0.000    0.002    0.000 module.py:643(_save_to_state_dict)
        8    0.000    0.000    0.002    0.000 FigureEight.py:77(_comparable_reward)
      183    0.000    0.000    0.002    0.000 _methods.py:44(_any)
      282    0.002    0.000    0.002    0.000 {built-in method broadcast_tensors}
     1028    0.001    0.000    0.002    0.000 traci.py:569(get_position)
      115    0.000    0.000    0.002    0.000 std.py:289(format_interval)
       25    0.001    0.000    0.002    0.000 categorical.py:44(__init__)
       34    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(norm)
      490    0.002    0.000    0.002    0.000 serialization.py:154(default_restore_location)
       55    0.000    0.000    0.002    0.000 functional.py:680(norm)
       26    0.001    0.000    0.002    0.000 traci.py:559(<listcomp>)
       18    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(clip)
        2    0.002    0.001    0.002    0.001 {method 'std' of 'torch._C._TensorBase' objects}
       25    0.002    0.000    0.002    0.000 {built-in method clamp}
      124    0.001    0.000    0.002    0.000 {built-in method builtins.all}
       55    0.002    0.000    0.002    0.000 {built-in method frobenius_norm}
      108    0.001    0.000    0.002    0.000 numeric.py:283(full)
       18    0.000    0.000    0.002    0.000 fromnumeric.py:2021(clip)
      126    0.001    0.000    0.002    0.000 routing_controllers.py:19(choose_route)
       56    0.002    0.000    0.002    0.000 {method 'float' of 'torch._C._TensorBase' objects}
       18    0.000    0.000    0.002    0.000 fromnumeric.py:55(_wrapfunc)
       18    0.000    0.000    0.001    0.000 {method 'clip' of 'numpy.ndarray' objects}
       11    0.001    0.000    0.001    0.000 accel.py:118(<listcomp>)
      110    0.001    0.000    0.001    0.000 _ufunc_config.py:39(seterr)
       54    0.000    0.000    0.001    0.000 seeding.py:45(create_seed)
       18    0.000    0.000    0.001    0.000 _methods.py:97(_clip)
      398    0.001    0.000    0.001    0.000 {built-in method builtins.divmod}
       54    0.000    0.000    0.001    0.000 seeding.py:21(hash_seed)
      108    0.001    0.000    0.001    0.000 seeding.py:69(_bigint_from_bytes)
       33    0.000    0.000    0.001    0.000 MB_DPPO.py:137(<listcomp>)
        1    0.001    0.001    0.001    0.001 {method 'index_select' of 'torch._C._TensorBase' objects}
      246    0.001    0.000    0.001    0.000 storage.py:42(readInt)
      165    0.001    0.000    0.001    0.000 domain.py:222(getSubscriptionResults)
       34    0.001    0.000    0.001    0.000 linalg.py:2316(norm)
      343    0.001    0.000    0.001    0.000 {built-in method numpy.array}
        3    0.000    0.000    0.001    0.000 {built-in method builtins.print}
     3291    0.001    0.000    0.001    0.000 {built-in method _struct.pack}
       18    0.001    0.000    0.001    0.000 {method 'squeeze' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.001    0.001 arrayprint.py:1489(_array_str_implementation)
       55    0.000    0.000    0.001    0.000 _ufunc_config.py:441(__enter__)
        1    0.000    0.000    0.001    0.001 arrayprint.py:532(array2string)
     2415    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
       50    0.001    0.000    0.001    0.000 {method 'reshape' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.001    0.001 arrayprint.py:477(wrapper)
        9    0.000    0.000    0.001    0.000 FigureEight.py:68(get_reward_)
     2593    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.001    0.001 arrayprint.py:494(_array2string)
      434    0.001    0.000    0.001    0.000 traci.py:581(get_lane)
       60    0.001    0.000    0.001    0.000 std.py:188(__format__)
      120    0.001    0.000    0.001    0.000 utils.py:222(_is_ascii)
      124    0.001    0.000    0.001    0.000 grad_mode.py:41(__exit__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       16    0.001    0.000    0.001    0.000 std.py:115(__exit__)
      792    0.001    0.000    0.001    0.000 domain.py:78(reset)
      154    0.000    0.000    0.001    0.000 storage.py:58(readTypedDouble)
       55    0.000    0.000    0.001    0.000 _ufunc_config.py:446(__exit__)
      167    0.001    0.000    0.001    0.000 {method 'to' of 'torch._C._TensorBase' objects}
      315    0.001    0.000    0.001    0.000 std.py:234(__call__)
      497    0.001    0.000    0.001    0.000 {method 'tell' of '_io.BufferedReader' objects}
      108    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(copyto)
      252    0.000    0.000    0.001    0.000 traci.py:646(get_routing_controller)
       36    0.000    0.000    0.001    0.000 _methods.py:63(_clip_dep_is_scalar_nan)
       74    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(concatenate)
